id,slug,name_en,name_local,type,subtype,country,region,currency,domain,logo_clearbit,logo_brandfetch,logo_svgl,brand_color,swift_bic,notes
1,ICBC,Industrial and Commercial Bank of China,中国工商银行,bank,commercial_bank,China,East Asia,CNY,icbc.com.cn,https://logo.clearbit.com/icbc.com.cn,https://cdn.brandfetch.io/icbc.com.cn/w/200/h/200,,#C6000C,ICBKCNBJ,Big Four
2,ABC,Agricultural Bank of China,中国农业银行,bank,commercial_bank,China,East Asia,CNY,abchina.com,https://logo.clearbit.com/abchina.com,https://cdn.brandfetch.io/abchina.com/w/200/h/200,,#007B40,ABOCCNBJ,Big Four
3,BOC,Bank of China,中国银行,bank,commercial_bank,China,East Asia,CNY,boc.cn,https://logo.clearbit.com/boc.cn,https://cdn.brandfetch.io/boc.cn/w/200/h/200,,#C8161D,BKCHCNBJ,Big Four
4,CCB,China Construction Bank,中国建设银行,bank,commercial_bank,China,East Asia,CNY,ccb.com,https://logo.clearbit.com/ccb.com,https://cdn.brandfetch.io/ccb.com/w/200/h/200,,#005BAC,PCBCCNBJ,Big Four
5,BoCom,Bank of Communications,交通银行,bank,commercial_bank,China,East Asia,CNY,bankcomm.com,https://logo.clearbit.com/bankcomm.com,https://cdn.brandfetch.io/bankcomm.com/w/200/h/200,,#006DB7,COMMCNSH,Big Five
6,CMB,China Merchants Bank,招商银行,bank,commercial_bank,China,East Asia,CNY,cmbchina.com,https://logo.clearbit.com/cmbchina.com,https://cdn.brandfetch.io/cmbchina.com/w/200/h/200,,#C8161D,CMBCCNBS,National Joint-Stock
7,CITIC,China CITIC Bank,中信银行,bank,commercial_bank,China,East Asia,CNY,citicbank.com,https://logo.clearbit.com/citicbank.com,https://cdn.brandfetch.io/citicbank.com/w/200/h/200,,#D4000F,CIBKCNBJ,National Joint-Stock
8,SPDB,Shanghai Pudong Development Bank,上海浦发银行,bank,commercial_bank,China,East Asia,CNY,spdb.com.cn,https://logo.clearbit.com/spdb.com.cn,https://cdn.brandfetch.io/spdb.com.cn/w/200/h/200,,#003087,FDBSCNBH,National Joint-Stock
9,Minsheng,China Minsheng Bank,中国民生银行,bank,commercial_bank,China,East Asia,CNY,cmbc.com.cn,https://logo.clearbit.com/cmbc.com.cn,https://cdn.brandfetch.io/cmbc.com.cn/w/200/h/200,,#003E87,MSBCCNBJ,National Joint-Stock
10,PingAnBank,Ping An Bank,平安银行,bank,commercial_bank,China,East Asia,CNY,bank.pingan.com,https://logo.clearbit.com/bank.pingan.com,https://cdn.brandfetch.io/bank.pingan.com/w/200/h/200,,#F5820A,SZDBCNBS,National Joint-Stock
11,Everbright,China Everbright Bank,中国光大银行,bank,commercial_bank,China,East Asia,CNY,cebbank.com,https://logo.clearbit.com/cebbank.com,https://cdn.brandfetch.io/cebbank.com/w/200/h/200,,#C00C1A,EVERCNBJ,National Joint-Stock
12,CGB,Guangfa Bank,广发银行,bank,commercial_bank,China,East Asia,CNY,cgbchina.com.cn,https://logo.clearbit.com/cgbchina.com.cn,https://cdn.brandfetch.io/cgbchina.com.cn/w/200/h/200,,#EF3524,GDBACNBJ,National Joint-Stock
13,HXB,Hua Xia Bank,华夏银行,bank,commercial_bank,China,East Asia,CNY,hxb.com.cn,https://logo.clearbit.com/hxb.com.cn,https://cdn.brandfetch.io/hxb.com.cn/w/200/h/200,,#C8161D,HXBKCNBJ,National Joint-Stock
14,ZheshangBank,Zheshang Bank,浙商银行,bank,commercial_bank,China,East Asia,CNY,czbank.com,https://logo.clearbit.com/czbank.com,https://cdn.brandfetch.io/czbank.com/w/200/h/200,,#0052A5,ZBESCNB1,Regional
15,NingboBank,Ningbo Bank,宁波银行,bank,commercial_bank,China,East Asia,CNY,nbcb.cn,https://logo.clearbit.com/nbcb.cn,https://cdn.brandfetch.io/nbcb.cn/w/200/h/200,,#C20E1A,BKCBCN2N,Regional
16,NanjingBank,Nanjing Bank,南京银行,bank,commercial_bank,China,East Asia,CNY,njcb.com.cn,https://logo.clearbit.com/njcb.com.cn,https://cdn.brandfetch.io/njcb.com.cn/w/200/h/200,,#005BAC,NJCBCNB2,Regional
17,BeijingBank,Bank of Beijing,北京银行,bank,commercial_bank,China,East Asia,CNY,bankofbeijing.com.cn,https://logo.clearbit.com/bankofbeijing.com.cn,https://cdn.brandfetch.io/bankofbeijing.com.cn/w/200/h/200,,#CC0000,BKBKCNBJ,Regional
18,WeBank,WeBank,微众银行,bank,neobank,China,East Asia,CNY,webank.com,https://logo.clearbit.com/webank.com,https://cdn.brandfetch.io/webank.com/w/200/h/200,,#38A3FF,,Internet Bank; backed by Tencent
19,MyBank,MYbank,网商银行,bank,neobank,China,East Asia,CNY,mybank.cn,https://logo.clearbit.com/mybank.cn,https://cdn.brandfetch.io/mybank.cn/w/200/h/200,,#FF7100,,Internet Bank; backed by Ant Group
20,AiBank,AIBank,百信银行,bank,neobank,China,East Asia,CNY,aibank.com,https://logo.clearbit.com/aibank.com,https://cdn.brandfetch.io/aibank.com/w/200/h/200,,#1B6FBE,,Internet Bank; backed by Baidu
21,JPMorgan,JPMorgan Chase,JPMorgan Chase,bank,commercial_bank,United States,North America,USD,jpmorganchase.com,https://logo.clearbit.com/jpmorganchase.com,https://cdn.brandfetch.io/jpmorganchase.com/w/200/h/200,,#003087,CHASUS33,Largest US bank
22,BankOfAmerica,Bank of America,Bank of America,bank,commercial_bank,United States,North America,USD,bankofamerica.com,https://logo.clearbit.com/bankofamerica.com,https://cdn.brandfetch.io/bankofamerica.com/w/200/h/200,,#E31837,BOFAUS3N,
23,Citibank,Citibank,Citibank,bank,commercial_bank,United States,North America,USD,citi.com,https://logo.clearbit.com/citi.com,https://cdn.brandfetch.io/citi.com/w/200/h/200,,#003B8E,CITIUS33,
24,WellsFargo,Wells Fargo,Wells Fargo,bank,commercial_bank,United States,North America,USD,wellsfargo.com,https://logo.clearbit.com/wellsfargo.com,https://cdn.brandfetch.io/wellsfargo.com/w/200/h/200,,#CD1409,WFBIUS6S,
25,GoldmanSachs,Goldman Sachs,Goldman Sachs,bank,investment_bank,United States,North America,USD,goldmansachs.com,https://logo.clearbit.com/goldmansachs.com,https://cdn.brandfetch.io/goldmansachs.com/w/200/h/200,,#7399C6,GSCMUS33,
26,MorganStanley,Morgan Stanley,Morgan Stanley,bank,investment_bank,United States,North America,USD,morganstanley.com,https://logo.clearbit.com/morganstanley.com,https://cdn.brandfetch.io/morganstanley.com/w/200/h/200,,#003B8E,MSNYUS33,
